Date,"Average consumption, electric (kWh/100km)",Distance driven (km),Driving time (h),Average speed (km/h)
2017-09-29,23.9,9,00:20,28
2017-09-30,25.6,15,00:39,23
2017-09-30,23.4,13,00:28,29
2017-10-01,25,9,00:17,32
2017-10-02,27.4,8,00:30,16
2017-10-02,25.8,18,00:58,20
2017-10-03,26.7,5,00:15,20
2017-10-04,24.3,42,01:09,37
2017-10-04,24.1,32,00:35,55
2017-10-05,23.1,9,00:18,30
2017-10-06,22.9,31,00:47,40
2017-10-06,24.3,31,00:42,44
2017-10-07,24.5,9,00:18,30
2017-10-08,23.8,9,00:15,36
2017-10-09,30.5,4,00:12,22
2017-10-10,23.1,32,00:50,38
2017-10-10,19.3,32,00:33,57
2017-10-11,22,14,00:20,42
2017-10-12,26.3,8,00:21,25
2017-10-13,23.8,32,00:43,44
2017-10-13,20.8,31,00:41,46
2017-10-14,32.5,1,00:07,13
2017-10-14,22.5,18,00:33,34
2017-10-15,21.5,31,00:39,48
2017-10-16,27.5,8,00:23,22
2017-10-16,26.5,17,00:39,26
2017-10-18,25.4,8,00:17,32
2017-10-18,25.4,32,00:49,40
2017-10-20,26.3,9,00:17,32
2017-10-20,21.6,33,00:42,47
2017-10-20,24.2,32,00:37,51
2017-10-21,22.9,9,00:16,34
2017-10-22,26.2,9,00:15,36
2017-10-23,33.6,3,00:09,21
2017-10-23,26.6,5,00:10,29
2017-10-24,27,11,00:25,27
2017-10-25,26.9,31,00:36,51
2017-10-25,26.9,33,00:36,55
2017-10-26,28.2,9,00:17,32
2017-10-27,27.1,9,00:18,30
2017-10-27,24.5,32,00:50,38
2017-10-27,24.7,33,00:46,43
2017-10-28,27.4,9,00:17,31
2017-10-28,26.2,9,00:17,32
2017-10-29,45.7,1,00:05,19
2017-10-30,37.8,8,00:29,17
2017-10-30,34.4,7,00:23,19
2017-10-31,50.8,1,00:05,17
2017-11-01,26.8,33,00:56,36
2017-11-02,29.7,9,00:16,33
2017-11-03,33.5,9,00:19,28
2017-11-03,25.6,31,00:36,51
2017-11-03,27.1,31,00:35,53
2017-11-04,30,9,00:25,24
2017-11-04,31.7,9,00:16,34
2017-11-06,31.3,6,00:21,18
2017-11-06,30.3,18,00:45,25
2017-11-07,26.1,15,00:32,29
2017-11-08,25.7,31,00:37,50
2017-11-08,22.7,31,00:32,58
2017-11-09,26.8,9,00:18,29
2017-11-09,27.4,9,00:17,32
2017-11-10,25.5,32,01:09,28
2017-11-10,29.3,9,00:18,30
2017-11-10,25.3,31,00:36,52
2017-11-11,29.3,9,00:19,29
2017-11-12,28.8,9,00:18,31
2017-11-13,35.6,10,00:29,22
2017-11-13,34.9,17,00:41,25
2017-11-15,33.6,9,00:18,30
2017-11-15,25.7,32,00:34,56
2017-11-15,26.1,33,00:33,59
2017-11-16,30.7,9,00:18,30
2017-11-16,29.3,9,00:18,31
2017-11-17,30.7,9,00:17,31
2017-11-17,25.9,31,00:39,49
2017-11-17,28.8,31,00:32,59
2017-11-18,27.5,9,00:15,35
2017-11-19,31.4,9,00:18,30
2017-11-20,44.2,6,00:17,21
2017-11-20,34.5,10,00:23,26
2017-11-22,28.1,40,00:47,52
2017-11-22,28.9,32,00:30,64
2017-11-23,36.5,9,00:20,27
2017-11-23,32.2,9,00:15,34
2017-11-24,33.8,9,00:15,35
2017-11-24,26.5,31,00:48,40
2017-11-25,31.6,20,00:45,27
2017-11-25,32.8,9,00:19,28
2017-11-26,34.6,9,00:16,33
2017-11-27,42.1,5,00:13,24
2017-11-27,42.3,10,00:23,27
2017-11-29,28.9,31,00:34,55
2017-11-29,28.3,32,00:33,58
2017-11-30,36.6,9,00:24,23
2017-11-30,34.3,9,00:16,33
2017-12-01,35.8,9,00:18,30
2017-12-01,26.3,31,00:39,48
2017-12-02,28.5,32,01:05,29
2017-12-02,31.5,9,00:17,31
2017-12-02,26.2,31,00:36,52
2017-12-03,31.1,14,00:39,22
2017-12-03,29.4,9,00:16,33
2017-12-04,45.6,3,00:08,23
2017-12-04,36.2,10,00:27,23
2017-12-04,39.7,6,00:16,24
2017-12-06,30.4,12,00:23,31
2017-12-06,26.9,31,00:35,54
2017-12-06,32.1,32,00:35,56
2017-12-07,34.3,12,00:27,27
2017-12-08,29.8,32,01:08,28
2017-12-08,32.9,14,00:28,31
2017-12-10,33.6,9,00:15,35
2017-12-10,26.5,33,00:49,40
2017-12-10,28.1,31,00:41,45
2017-12-11,35.5,8,00:24,20
2017-12-11,27.2,10,00:25,24
2017-12-13,34.7,9,00:17,31
2017-12-15,32.4,9,00:16,35
2017-12-16,29.8,9,00:17,31
